Weightclass,Name,Weight,Date,Fed,Gender,Bodyweight,Wilksscore,IPFGL,Bwratio,Wilkscoefficient
52,Andrzej Stanaszek,600,2002-05-09,EPF,Male,52,"588,7670834","78,5665731","11,53846154","0,9812784724"
56,Andrzej Stanaszek,600,2003-03-22,BVDK,Male,56,"546,2089637","75,81162169","10,71428571","0,9103482729"
60,Sergey Fedosienko,"670,5",2020-03-18,FPR,Male,60,"571,8521756","82,02627898","11,175","0,8528742366"
"67,5",Daniel Clements,"722,5",2021-12-04,USAPL,Male,"67,5","557,0588888","83,83915051","10,7037037","0,7710157631"
75,Taylor Atwood,"838,5",2021-06-14,USAPL,Male,75,"597,4819569","93,06604949","11,18","0,7125604734"
"82,5",Russel Orhii,838,2022-06-08,USAPL,Male,"82,5","561,3816696","89,56540414","10,15757576","0,669906527"
90,Jesse Norris,914,2014-12-13,USAPL,Male,90,"583,4921858","94,59102353","10,15555556","0,6383940764"
100,Ashton Rouska,"950,5",2020-11-14,USAPL,Male,100,"578,4639128","94,89271662","9,505","0,6085890719"
110,Ashton Rouska,955,2021-12-04,USAPL,Male,110,"562,0110205","92,56705707","8,681818182","0,5884932152"
125,Rondel Hunte,"992,5",2022-07-23,USAPL,Male,125,"565,5710214","92,89505232","7,94","0,5698448578"
140,Dennis Cornelius,1000,2018-07-21,USAPL,Male,140,"558,8066764","91,14863048","7,142857143","0,5588066764"
140+,Ray Williams,"1112,5",2019-03-02,USAPL,Male,160,"609,8833769","98,81296304","6,953125","0,548209777"
44,Leanne Le,350,2022-06-08,USAPL,Female,44,"492,8247279","103,9036681","7,954545455","1,408070651"
48,Jessica Espinal,"433,5",2024-08-28,IPF,Female,48,"574,1362575","117,7219957","9,03125","1,324420432"
52,Evie Corrigan,481,2024-02-10,IPF,Female,52,"599,6323919","121,4562282","9,25","1,246636989"
56,Natalie Richards #1,"512,5",2023-06-11,IPF,Female,56,"603,010117","121,8424861","9,151785714","1,176605106"
60,Jade Jacob,"519,5",2024-02-10,IPF,Female,60,"579,1837317","117,4278553","8,658333333","1,114886875"
67.5,Prescillia Bavoil,585,2024-02-10,IPF,Female,"67,5","597,0635295","122,7145556","8,666666667","1,020621418"
75,Agata Sitko,627,2024-10-19,FFForce,Female,75,"596,0516913","124,3998026","8,36","0,9506406561"
82.5,Agata Sitko,"618,5",2024-07-13,IPF,Female,"82,5","556,6310267","117,6427058","7,496969697","0,8999693237"
90,Amanda Lawrence #1,647,2024-02-10,IPF,Female,90,"559,0495916","119,1464102","7,188888889","0,8640642837"
90+,Sonita Muluh,731,2024-06-15,IPF,Female,100,"608,6184045","130,3702667","7,31","0,8325833167"