Activity,Steps
Aerobics,209
Archery,123
Badminton,157
Baseball,143
Basketball,186
Beach Volleyball,229
Bicycling – Leisure,100
Bicycling – Moderate,229
Bicycling - Competitive,343
Boxing - Punching Bag,157
Boxing - Sparring,223
Canoeing,166
Circuit Training,229
Cricket,137
Cross-country Skiing,257
Dancing,209
Desk Bike,66
Desk Treadmill,66
Diving,86
Downhill Skiing,151
Elliptical trainer,143
Field Hockey,223
Gardening,114
Golf,123
Gymnastics,109
Handball,229
Heavy Resistance training,171
HIIT,229
Ice Hockey,229
Ice skating,200
Judo,151
Karate,151
Kayaking,143
Kickboxing,151
Kitesurfing,314
Lacrosse,229
Lawn bowling,94
Light Resistance training,100
Netball,186
Pilates,86
Polo,229
Rock climbing,166
Roller blading,214
Roller skating,200
Rowing,166
Rowing machine,137
Rugby Union,180
Running - low effort,237
Running - moderate effort,329
Running - high effort,414
Sailing,86
SCUBA diving,200
Skateboarding,143
Snorkelling,143
Snowboarding,151
Soccer,200
Softball,143
Spin Class,243
Squash,209
Standing Desk,10
Stationary Bike - high effort,251
Stationary Bike - moderate effort,137
Stationary Bike - low effort,100
Surfing,86
Swim - Competitive,286
Swim - Moderate,237
Swim - Leisure,171
Table Tennis,114
Tae Kwan Do,151
Tennis,209
Volleyball,114
Wakeboarding,171
Water Aerobics,157
Water Polo,286
Water skiing,171
Windsurfing,143
Wrestling,171
Yoga,71